;f=16,q=6;f=20,q=6;f=24,q=6
CSMaxDelays;80.063:104.582;84.201:185.82;92.508:200.143
PRMaxDelays;1.689:29.495;24.198:162.373;19.803:121.184
CSAvgDelays;0.312:0.732;0.231:2.113;1.884:3.51
PRAvgDelays;-0.035:0.249;0.109:1.023;0.426:2.881
PrcOverOneMinuteDelay;0.002:0.002;-0.002:0.014;0.001:0.018
MaxWaitTimes;383.909:504.691;342.304:477.653;364.427:374.87
AvgWaitTimes;118.44:118.598;95.249:97.06;79.04:82.189
MaxTravelTimes;1610.54:1791.975;1592.123:1833.055;1631.351:1633.532
AvgTravelTimes;315.673:367.931;273.831:455.645;334.403:379.847
CSMaxQueueSizes;129.368:220.632;94.32:173.68;115.54:125.46
PRMaxQueueSizes;408.764:474.236;315.224:370.776;255.86:345.14
