;f=16,q=6;f=20,q=6;f=24,q=6
CSMaxDelays;-43.485:206.599;7.651:115.43;24.514:157.006
PRMaxDelays;-63.42:192.323;-6.15:18.65;33.28:70.461
CSAvgDelays;-0.181:0.976;0.409:0.435;0.96:1.428
PRAvgDelays;-0.44:1.335;-0.032:0.098;0.975:1.223
PrcOverOneMinuteDelay;0.001:0.005;-0.001:0.003;-0.003:0.008
MaxWaitTimes;430.66:489.027;369.168:371.04;292.346:367.469
AvgWaitTimes;120.219:123.592;96.213:98.56;79.649:82.681
MaxTravelTimes;1712.472:1802.148;1503.254:1669.231;1463.955:1668.397
AvgTravelTimes;724.672:762.901;730.601:774.06;674.665:718.843
CSMaxQueueSizes;87.272:154.728;93:93;59.684:105.316
PRMaxQueueSizes;337.048:348.952;332.116:484.884;196.652:234.348
