--------------------------------------------------
CSMaxDelays
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-239.196:529.544:1298.285;-151.752:622.953:1397.658;-478.388:159.693:797.774;-122.298:412.31:946.918;-109.503:588.348:1286.198;-1760.466:-167.212:1426.042;-101.618:500.659:1102.936;-110.643:563.255:1237.152;-950.258:-34.75:880.758;-244.944:495.784:1236.512;-145.251:583.619:1312.49;-1012.938:-127.183:758.571;-718.728:453.709:1626.146;-183.541:568.163:1319.868
f=16,q=5;-1298.285:-529.544:239.196;0:0:0;66.999:93.409:119.818;-933.939:-369.851:194.237;-543.539:-117.234:309.071;-33.815:58.803:151.422;-1762.44:-696.757:368.927;-196.277:-28.885:138.507;-122.556:33.711:189.977;-1189.026:-564.294:60.437;-78.449:-33.76:10.929;-7.154:54.075:115.304;-1515.134:-656.728:201.679;-486.286:-75.835:334.615;-13.097:38.619:90.335
f=16,q=6;-1397.658:-622.953:151.752;-119.818:-93.409:-66.999;0:0:0;-1051.702:-463.26:125.182;-624.405:-210.643:203.119;-148.695:-34.605:79.484;-1875.68:-790.165:295.349;-294.797:-122.294:50.209;-202.157:-59.698:82.761;-1257.796:-657.703:-57.61;-196.293:-127.169:-58.044;-90.004:-39.333:11.337;-1587.434:-750.136:87.161;-569.259:-169.244:230.771;-132.702:-54.79:23.122
f=18,q=4;-797.774:-159.693:478.388;-194.237:369.851:933.939;-125.182:463.26:1051.702;0:0:0;-492.822:252.617:998.056;-47.549:428.655:904.858;-1300.094:-326.905:646.283;-160.748:340.966:842.68;-213.45:403.562:1020.574;-1297.178:-194.443:908.292;-183.475:336.091:855.658;-156.244:423.926:1004.097;-1529.459:-286.877:955.706;-618.199:294.016:1206.23;-105.664:408.47:922.605
f=18,q=5;-946.918:-412.31:122.298;-309.071:117.234:543.539;-203.119:210.643:624.405;-998.056:-252.617:492.822;0:0:0;-243.89:176.038:595.966;-2056.074:-579.522:897.029;-220.359:88.349:397.057;-120.362:150.945:422.252;-847.647:-447.06:-46.473;-346.637:83.474:513.585;-194.107:171.309:536.725;-1037.762:-539.494:-41.225;-701.163:41.399:783.96;-291.567:155.853:603.273
f=18,q=6;-1286.198:-588.348:109.503;-151.422:-58.803:33.815;-79.484:34.605:148.695;-904.858:-428.655:47.549;-595.966:-176.038:243.89;0:0:0;-1812.21:-755.56:301.09;-205.871:-87.689:30.493;-200.566:-25.093:150.38;-1297.893:-623.098:51.698;-142.372:-92.563:-42.755;-111.579:-4.728:102.123;-1600.117:-715.531:169.055;-630.633:-134.639:361.355;-75.453:-20.184:35.084
f=20,q=4;-1426.042:167.212:1760.466;-368.927:696.757:1762.44;-295.349:790.165:1875.68;-646.283:326.905:1300.094;-897.029:579.522:2056.074;-301.09:755.56:1812.21;0:0:0;-501.983:667.871:1837.726;-488.272:730.467:1949.207;-1531.253:132.462:1796.178;-388.113:662.997:1714.106;-374.667:750.832:1876.33;-1881.955:40.029:1962.013;-404.269:620.921:1646.112;-298.373:735.376:1769.124
f=20,q=5;-1102.936:-500.659:101.618;-138.507:28.885:196.277;-50.209:122.294:294.797;-842.68:-340.966:160.748;-397.057:-88.349:220.359;-30.493:87.689:205.871;-1837.726:-667.871:501.983;0:0:0;-55.177:62.596:180.368;-1142.063:-535.409:71.245;-151.442:-4.875:141.693;-45.886:82.961:211.807;-1416.966:-627.842:161.281;-618.797:-46.95:524.897;-93.752:67.504:228.76
f=20,q=6;-1237.152:-563.255:110.643;-189.977:-33.711:122.556;-82.761:59.698:202.157;-1020.574:-403.562:213.45;-422.252:-150.945:120.362;-150.38:25.093:200.566;-1949.207:-730.467:488.272;-180.368:-62.596:55.177;0:0:0;-1100.056:-598.005:-95.954;-235.674:-67.471:100.733;-74.674:20.365:115.403;-1401.712:-690.438:20.836;-615.128:-109.546:396.036;-180.502:4.908:190.319
